Name,Type,Info
"Big Big Train",B,https://www.bigbigtrain.com/
"Bush, Kate",S,https://www.katebush.com/homepage/
"District 97",B,
"Exploring Birdsong",B,
"Genesis",B,https://genesis-music.com/
"Haken",B,https://hakenmusic.com/
"Hultén, Jonathan",S,https://jonathanhulten.com/
"King Gizzard & The Lizard Wizard",B,
"Michell, Odette",S,https://www.odettemichell.com/
"Opeth",B,https://www.opeth.com/
"Orton, Beth",S,
"Steely Dan",B,https://en.wikipedia.org/wiki/Steely_Dan
"Wilson, Steven",S,https://stevenwilsonhq.com/
